restaurant_key,restaurant google map url,address,coordinates
Gin Rummy USA,https://maps.google.com/?cid=10688231107464481664&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"822 Washington Blvd, Marina Del Rey, CA 90292, USA","33.9880768,-118.4518361"
The Misfit USA,https://maps.google.com/?cid=730683559197686151&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"225 Santa Monica Blvd, Santa Monica, CA 90401, USA","34.0154575,-118.4966569"
The Santa Monica Whaler USA,https://maps.google.com/?cid=15139348952383136297&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"101 Broadway, Santa Monica, CA 90401, USA","34.0129883,-118.4964563"
The Waterfront Venice USA,https://maps.google.com/?cid=7030651404383979618&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"205 Ocean Front Walk, Venice, CA 90291, USA","33.995139,-118.4807134"
Tavern on Main USA,https://maps.google.com/?cid=3378478415113761689&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"123 Main St, El Segundo, CA 90245, USA","33.9173185,-118.4161078"
Bacari Silverlake USA,https://maps.google.com/?cid=15759891190649939146&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3626 Sunset Blvd, Los Angeles, CA 90026, USA","34.0901197,-118.2775804"
Barcade USA,https://maps.google.com/?cid=3377500441821156305&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"5684 York Blvd, Los Angeles, CA 90042, USA","34.1185236,-118.1941408"
Bar Bandini USA,https://maps.google.com/?cid=12407874994181303694&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"2150 Sunset Blvd, Los Angeles, CA 90026, USA","34.077304,-118.265491"
Bar Henry USA,https://maps.google.com/?cid=6361717150947778879&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"1228 Sunset Blvd, Los Angeles, CA 90026, USA","34.0690176,-118.2507893"
Bigfoot Lodge USA,https://maps.google.com/?cid=2201558164065068437&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3172 Los Feliz Blvd, Los Angeles, CA 90039, USA","34.1234893,-118.2679671"
Cha Cha Lounge USA,https://maps.google.com/?cid=17283973382231261846&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"2375 Glendale Blvd, Los Angeles, CA 90039, USA","34.0993554,-118.2594917"
Club Tee Gee USA,https://maps.google.com/?cid=9819539691371869890&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3210 Glendale Blvd, Los Angeles, CA 90039, USA","34.1176757,-118.2607708"
Encanto USA,https://maps.google.com/?cid=17406536592830502452&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"2121 Hillhurst Ave, Los Angeles, CA 90027, USA","34.1106391,-118.2877096"
The Friend USA,https://maps.google.com/?cid=17635646340355094647&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"2611 Hyperion Ave, Los Angeles, CA 90027, USA","34.1060161,-118.2728363"
The Greyhound USA,https://maps.google.com/?cid=4303115388649222402&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"1716 E 7th St, Los Angeles, CA 90021, USA","34.0340225,-118.2355761"
La Cuevita USA,https://maps.google.com/?cid=8784638244326377784&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"5922 N Figueroa St, Los Angeles, CA 90042, USA","34.1107177,-118.190118"
Link N Hops USA,https://maps.google.com/?cid=2203541807552322650&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3111 Glendale Blvd #3, Los Angeles, CA 90039, USA","34.1164924,-118.263071"
High Low USA,https://maps.google.com/?cid=5014182382767265070&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3000 Los Feliz Blvd, Los Angeles, CA 90039, USA","34.1252165,-118.2646957"
Hi Tops LF USA,https://maps.google.com/?cid=10889283294111877388&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"8933 Santa Monica Blvd, West Hollywood, CA 90069, USA","34.0845401,-118.3852139"
HOME USA,https://maps.google.com/?cid=14748255293556726053&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"1760 Hillhurst Ave, Los Angeles, CA 90027, USA","34.1032069,-118.2868581"
Justine's Wine Bar USA,https://maps.google.com/?cid=3526409138723427663&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"2029 Blake Ave #102, Los Angeles, CA 90039, USA","34.1025069,-118.2435712"
Kombu Sushi USA,https://maps.google.com/?cid=10013223727216139666&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3719 Sunset Blvd, Los Angeles, CA 90026, USA","34.0908743,-118.2780828"
Mess Hall USA,https://maps.google.com/?cid=17176651680219073598&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4500 Los Feliz Blvd, Los Angeles, CA 90027, USA","34.111469,-118.2876817"
Morrison USA,https://maps.google.com/?cid=3274745315903570558&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3179 Los Feliz Blvd, Los Angeles, CA 90039, USA","34.1237549,-118.26872"
Red Lion Tavern USA,https://maps.google.com/?cid=6846299548861410520&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"2366 Glendale Blvd, Los Angeles, CA 90039, USA","34.0992198,-118.258945"
Thirsty Crow USA,https://maps.google.com/?cid=9597303374072335169&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"2939 Sunset Blvd, Los Angeles, CA 90026, USA","34.0836768,-118.2737436"
Verdugo Bar USA,https://maps.google.com/?cid=3731991830589500632&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3408 Verdugo Rd, Los Angeles, CA 90065, USA","34.1138537,-118.2350672"
33 Taps USA,https://maps.google.com/?cid=1429498327596697899&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"1240 S Figueroa St, Los Angeles, CA 90015, USA","34.0410951,-118.2670827"
Aikan Sushi USA,https://maps.google.com/?cid=14710805711296827176&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"9034 Tampa Ave, Northridge, CA 91324, USA","34.2336469,-118.5523942"
